caldt,mret,model,year,portfolio_alpha,target_mode,long_decile,short_decile,backtest_start,backtest_end
2001-03-30,-0.09666337465329257,elastic_net,2000,-0.01577000643977841,alpha,0.1,0,,
2001-04-30,0.11149382259905462,elastic_net,2000,0.01630566414774194,alpha,0.1,0,,
2001-05-31,-0.00807045084100041,elastic_net,2000,-0.015879619067964063,alpha,0.1,0,,
2001-06-29,-0.026902621617812168,elastic_net,2000,-0.02181887108510716,alpha,0.1,0,,
2001-07-31,-0.033572387361286406,elastic_net,2000,0.00031835465377249433,alpha,0.1,0,,
2001-08-31,-0.08132719804840574,elastic_net,2000,-0.006128307229228941,alpha,0.1,0,,
2001-09-28,-0.11142552347350691,elastic_net,2000,-0.003717147469065693,alpha,0.1,0,,
2001-10-31,0.04836123083837105,elastic_net,2000,-0.0010903987527148343,alpha,0.1,0,,
2001-11-30,0.09294221579589733,elastic_net,2000,0.012522726186263503,alpha,0.1,0,,
2001-12-31,0.008342209562743787,elastic_net,2000,-0.015663022736156287,alpha,0.1,0,,
2002-01-31,-0.021039351034669477,elastic_net,2001,0.00023104247760477245,alpha,0.1,0,,
2002-02-28,-0.04642115473500404,elastic_net,2001,-0.01044603034886736,alpha,0.1,0,,
2002-03-28,0.04488941022744521,elastic_net,2001,-0.003257973219198157,alpha,0.1,0,,
2002-04-30,-0.0695257609865336,elastic_net,2001,-0.011021160747751543,alpha,0.1,0,,
2002-05-31,-0.019748733133951812,elastic_net,2001,0.003148389205040906,alpha,0.1,0,,
2002-06-28,-0.08630467480992632,elastic_net,2001,-0.01177202712256216,alpha,0.1,0,,
2002-07-31,-0.08402045448199447,elastic_net,2001,0.00200246228940798,alpha,0.1,0,,
2002-08-30,0.004643940932052671,elastic_net,2001,3.9276797606303034e-05,alpha,0.1,0,,
2002-09-30,-0.1003849251578249,elastic_net,2001,-0.0018064124303656393,alpha,0.1,0,,
2002-10-31,0.0849536930017418,elastic_net,2001,0.00550425436243053,alpha,0.1,0,,
2002-11-29,0.06218963145175573,elastic_net,2001,0.0030906685838413828,alpha,0.1,0,,
2002-12-31,-0.07319977361916684,elastic_net,2001,-0.01598281811759833,alpha,0.1,0,,
2003-01-31,-0.019128918105402716,elastic_net,2002,0.0057370701484661946,alpha,0.1,0,,
2003-02-28,-0.012927325605192056,elastic_net,2002,0.0042099075123763745,alpha,0.1,0,,
2003-03-31,0.016815517043960806,elastic_net,2002,0.0005699425889928913,alpha,0.1,0,,
2003-04-30,0.07654409822820735,elastic_net,2002,-0.007837086874671426,alpha,0.1,0,,
2003-05-30,0.06772113185157362,elastic_net,2002,0.003868791593316573,alpha,0.1,0,,
2003-06-30,0.015435139498175635,elastic_net,2002,-0.002656633425143492,alpha,0.1,0,,
2003-07-31,0.03646737415850318,elastic_net,2002,0.006949950336708026,alpha,0.1,0,,
2003-08-29,0.03444036940331788,elastic_net,2002,0.011862431060016554,alpha,0.1,0,,
2003-09-30,-0.02085594555163947,elastic_net,2002,-0.008475961666567819,alpha,0.1,0,,
2003-10-31,0.07020822928822978,elastic_net,2002,0.008348779756591776,alpha,0.1,0,,
2003-11-28,0.016285869189596635,elastic_net,2002,0.0035872332127722395,alpha,0.1,0,,
2003-12-31,0.021571381596236224,elastic_net,2002,-0.016991495253115052,alpha,0.1,0,,
2004-01-30,0.019433642998012184,elastic_net,2003,0.0010813554411998466,alpha,0.1,0,,
2004-02-27,0.008676902021224349,elastic_net,2003,-0.005973182767716394,alpha,0.1,0,,
2004-03-31,0.0017876483002870938,elastic_net,2003,0.010662965039636815,alpha,0.1,0,,
2004-04-30,-0.043750256012419074,elastic_net,2003,-0.03050910181586535,alpha,0.1,0,,
2004-05-28,0.023624165777219805,elastic_net,2003,0.010883473493768638,alpha,0.1,0,,
2004-06-30,0.017158589014669007,elastic_net,2003,-0.005143895193320789,alpha,0.1,0,,
2004-07-30,-0.062931218208809,elastic_net,2003,-0.017663307229588858,alpha,0.1,0,,
2004-08-31,-0.0065016203812515725,elastic_net,2003,-0.008176524123668516,alpha,0.1,0,,
2004-09-30,0.03464101737820566,elastic_net,2003,0.009309666757044605,alpha,0.1,0,,
2004-10-29,0.016031997137388423,elastic_net,2003,0.0005954749950284697,alpha,0.1,0,,
2004-11-30,0.05431164161196042,elastic_net,2003,0.0020194157751170366,alpha,0.1,0,,
2004-12-31,0.03885087294214598,elastic_net,2003,0.0025833670937494627,alpha,0.1,0,,
2005-01-31,-0.034537231341091476,elastic_net,2004,-0.006687883577537634,alpha,0.1,0,,
2005-02-28,0.026751266213262667,elastic_net,2004,0.007246894371646804,alpha,0.1,0,,
2005-03-31,-0.01722915608054441,elastic_net,2004,0.00673601997941849,alpha,0.1,0,,
2005-04-29,-0.012837740821204188,elastic_net,2004,0.01537364596327838,alpha,0.1,0,,
2005-05-31,0.04263044059395221,elastic_net,2004,-0.0009605651201796545,alpha,0.1,0,,
2005-06-30,0.03074822997826966,elastic_net,2004,0.02021148957237463,alpha,0.1,0,,
2005-07-29,0.05694916023597268,elastic_net,2004,0.008385154296283483,alpha,0.1,0,,
2005-08-31,-0.0026698200613081433,elastic_net,2004,0.009204611609897462,alpha,0.1,0,,
2005-09-30,0.022670136584518837,elastic_net,2004,0.01470480499899,alpha,0.1,0,,
2005-10-31,-0.027515374440593786,elastic_net,2004,-0.009482640486535136,alpha,0.1,0,,
2005-11-30,0.039272016755612454,elastic_net,2004,-0.005403500798575121,alpha,0.1,0,,
2005-12-30,0.009225160317931165,elastic_net,2004,0.00932377296252977,alpha,0.1,0,,
2006-01-31,0.05130521979534208,elastic_net,2005,0.009504541989686054,alpha,0.1,0,,
2006-02-28,-0.017116713376695757,elastic_net,2005,-0.013504494998755272,alpha,0.1,0,,
2006-03-31,0.020796006828477112,elastic_net,2005,-0.00241411399594655,alpha,0.1,0,,
2006-04-28,0.011750460629140444,elastic_net,2005,0.0038144426609411372,alpha,0.1,0,,
2006-05-31,-0.04522714946981115,elastic_net,2005,-0.003969179831379732,alpha,0.1,0,,
2006-06-30,-0.001304307683020595,elastic_net,2005,-0.0007240000508790916,alpha,0.1,0,,
2006-07-31,-0.01581129433492202,elastic_net,2005,-0.003063515970289494,alpha,0.1,0,,
2006-08-31,0.019543586175296786,elastic_net,2005,-0.004170417104364527,alpha,0.1,0,,
2006-09-29,0.011615729579098302,elastic_net,2005,-0.008581313163986769,alpha,0.1,0,,
2006-10-31,0.036603079762381495,elastic_net,2005,-0.0027653857333281295,alpha,0.1,0,,
2006-11-30,0.03294070762347161,elastic_net,2005,0.009106164959758467,alpha,0.1,0,,
2006-12-29,0.003485362145777123,elastic_net,2005,-0.0024437822352977425,alpha,0.1,0,,
2007-01-31,0.03656782680554924,elastic_net,2006,0.018110724241766095,alpha,0.1,0,,
2007-02-28,-0.016546335596059666,elastic_net,2006,-0.003182348406361016,alpha,0.1,0,,
2007-03-30,0.002168114943853483,elastic_net,2006,-0.011633993241214672,alpha,0.1,0,,
2007-04-30,0.031558916913570725,elastic_net,2006,-0.005349299401081954,alpha,0.1,0,,
